latitude,longitude,acq_date,confidence,frp,type
47.17805,33.57751,12/10/2023,n,4.52,0
48.41387,39.71512,12/10/2023,n,2.35,0
48.11842,37.62138,12/10/2023,n,3.82,0
48.1218,37.61998,12/10/2023,n,25.12,0
46.19416,34.43538,12/10/2023,n,4.73,0
46.19802,34.43357,12/10/2023,n,1.6,3
46.73456,35.52122,12/10/2023,n,4.37,0
46.98776,32.19595,12/10/2023,n,5.37,0
48.42761,39.22253,12/10/2023,n,7.09,0
48.43089,39.22132,12/10/2023,n,4.61,0
48.42912,39.21089,12/10/2023,n,1.56,0
48.43418,39.22012,12/10/2023,n,4.61,0
48.43834,39.22411,12/10/2023,n,3.36,0
48.43746,39.2189,12/10/2023,n,29,0
46.9885,32.19394,12/10/2023,n,6.46,0
47.9175,38.20778,12/10/2023,n,2.79,0
47.80359,37.53406,12/10/2023,n,13.14,0
46.48929,32.06927,12/10/2023,n,19.9,0
47.28683,33.21941,12/10/2023,n,2.36,0
47.80803,37.53823,12/10/2023,n,13.14,0
46.65263,32.90229,12/10/2023,n,4.51,0
46.86185,33.94054,12/10/2023,n,10.14,0
46.86298,33.94552,12/10/2023,n,10.14,0
45.69345,29.54315,12/10/2023,n,4.41,0
46.79559,34.24128,12/10/2023,n,4.77,0
47.49377,37.67826,12/10/2023,n,1.33,0
47.47311,37.84909,12/10/2023,n,6.23,0
46.59782,33.75179,12/10/2023,n,3.27,0
46.29722,32.51752,12/10/2023,n,3.74,0
46.4105,33.00737,12/10/2023,n,5.59,0
46.19028,34.43718,12/10/2023,n,4.73,0
46.27028,35.00601,12/10/2023,n,13.88,0
46.2665,35.00772,12/10/2023,n,13.88,0
46.2707,35.00761,12/10/2023,n,13.13,0
46.26692,35.00933,12/10/2023,n,13.65,0
48.10277,39.05462,12/10/2023,n,1.58,0
47.48935,35.74888,12/10/2023,n,7.02,0
46.49464,32.06795,12/10/2023,n,12.39,0
46.49041,32.07013,12/10/2023,n,12.39,0
46.70652,32.7304,12/10/2023,n,3.66,0
46.24664,32.50594,12/10/2023,n,4.04,0
46.70832,34.69046,12/10/2023,n,2.45,0
45.89209,29.07747,12/10/2023,n,2.58,0
46.21207,32.59521,12/10/2023,n,5.86,0
47.28289,33.22141,12/10/2023,n,2.36,0
47.28652,33.23713,12/10/2023,n,8.64,0
47.28773,33.24237,12/10/2023,n,8.64,0
48.19498,37.67122,12/10/2023,n,3.41,0
48.18723,37.66848,12/10/2023,n,22.24,0
46.70518,32.72478,12/10/2023,n,3.66,0
46.70383,32.71915,12/10/2023,n,5.52,0
47.03885,34.05629,12/10/2023,n,3.54,0
46.49351,32.06711,12/10/2023,n,19.9,0
46.87664,32.85531,12/10/2023,n,2.61,0
46.20649,32.59149,12/10/2023,n,3.46,0
49.22201,37.98735,12/10/2023,n,4.14,0
47.1526,30.16071,12/10/2023,n,4.87,0
48.93046,38.62746,12/10/2023,n,2.31,0
49.75884,37.27298,12/10/2023,n,5.8,0
48.66845,31.51016,12/10/2023,n,6.76,0
48.92189,31.92126,12/10/2023,n,2.39,0
48.47527,29.85857,12/10/2023,n,17.87,0
48.03216,34.17655,12/10/2023,n,4.51,0
48.65505,37.54276,12/10/2023,n,3.51,0
48.68172,38.18711,12/10/2023,n,1.94,0
48.35481,37.74012,12/10/2023,n,6.32,0
48.46064,38.77192,12/10/2023,n,7.04,2
48.45735,38.77319,12/10/2023,n,7.04,2
48.43081,29.23688,12/10/2023,n,19.52,0
50.20448,36.20781,12/10/2023,n,3.18,0
50.20786,36.20626,12/10/2023,n,5.09,0
50.21348,36.21653,12/10/2023,n,9.24,0
50.21236,36.21062,12/10/2023,n,9.24,0
50.20876,36.20474,12/10/2023,n,6.47,0
50.21555,36.22088,12/10/2023,n,16.51,0
50.21441,36.21498,12/10/2023,n,16.51,0
50.21328,36.2091,12/10/2023,n,6.47,0
50.22005,36.22518,12/10/2023,n,16.03,0
50.21893,36.2193,12/10/2023,n,4.97,0
50.2178,36.21344,12/10/2023,n,4.97,0
50.22455,36.22947,12/10/2023,n,16.03,0
50.22343,36.22362,12/10/2023,n,16.03,0
50.22794,36.22791,12/10/2023,n,7,0
49.1298,30.37701,12/10/2023,n,2.93,0
49.82988,32.97204,12/10/2023,n,14.18,0
49.44504,30.34186,12/10/2023,h,15.39,0
49.44663,30.34821,12/10/2023,n,15.39,0
49.44344,30.33545,12/10/2023,n,9.47,0
49.4476,30.33299,12/10/2023,n,27.75,0
49.45175,30.33052,12/10/2023,n,27.75,0
49.44244,27.35414,12/10/2023,n,1.71,0
47.15709,30.15823,12/10/2023,n,7.15,0
48.07241,29.89783,12/10/2023,n,5.35,0
49.79488,37.81326,12/10/2023,n,9.04,0
49.07961,36.02686,12/10/2023,n,7.12,0
47.15362,30.1599,12/10/2023,n,4.78,0
49.36319,38.85958,12/10/2023,n,2.68,0
49.02272,37.00063,12/10/2023,n,13.55,0
49.02477,37.00111,12/10/2023,n,5.45,0
49.02139,37.00259,12/10/2023,n,5.45,0
48.97923,36.95306,12/10/2023,n,4.46,0
47.38152,30.21317,12/10/2023,n,31.79,0
47.15811,30.15746,12/10/2023,n,2.32,0
47.38015,30.21651,12/10/2023,n,19.17,0
47.37826,30.20921,12/10/2023,n,14.73,0
49.07615,36.02845,12/10/2023,n,1.81,0
48.89822,35.6792,12/10/2023,n,11.26,0
48.89471,35.68085,12/10/2023,n,21.28,0
48.89122,35.68249,12/10/2023,n,21.28,0
48.89765,35.73325,12/10/2023,n,4.06,0
51.38077,33.64091,12/10/2023,n,7.43,0
51.38343,33.66128,12/10/2023,n,6.21,0
51.37563,33.64301,12/10/2023,n,8.76,0
51.37705,33.64973,12/10/2023,n,8.76,0
51.38571,33.64576,12/10/2023,n,5.49,0
51.38356,33.65439,12/10/2023,n,5.49,0
51.38495,33.66113,12/10/2023,n,5.42,0
51.37862,33.64955,12/10/2023,n,15.21,0
51.37368,33.64471,12/10/2023,n,8.7,0
51.38216,33.64765,12/10/2023,n,5.49,0
51.39548,33.66235,12/10/2023,n,10.03,0
51.3969,33.66907,12/10/2023,n,10.03,0
51.3891,33.65078,12/10/2023,n,8.59,0
51.39406,33.65561,12/10/2023,n,11.12,0
51.40185,33.67388,12/10/2023,n,15.08,0
51.40044,33.66717,12/10/2023,n,10.03,0
51.39902,33.66046,12/10/2023,n,10.03,0
51.39052,33.6575,12/10/2023,n,8.59,0
51.39194,33.66423,12/10/2023,n,4.81,0
51.38414,33.64595,12/10/2023,n,10.22,0
51.38698,33.65939,12/10/2023,n,8.59,0
51.37917,33.64111,12/10/2023,n,8.76,0
51.38202,33.65456,12/10/2023,n,6.21,0
51.3871,33.6525,12/10/2023,n,5.49,0
51.3885,33.65924,12/10/2023,n,5.42,0
51.4054,33.672,12/10/2023,n,3.12,0
51.38989,33.66598,12/10/2023,n,5.42,0
47.8896,30.18638,12/10/2023,n,2.67,0
48.07322,29.89482,12/10/2023,n,5.75,0
48.16835,33.65293,12/10/2023,n,6.09,0
48.16722,33.6522,12/10/2023,n,7.79,0
47.75718,32.46116,12/10/2023,n,11.73,0
47.69926,29.9317,12/10/2023,n,2.57,0
47.70011,29.93496,12/10/2023,n,1.64,0
47.75885,32.46275,12/10/2023,n,6.9,0
47.67431,30.17091,12/10/2023,n,2.27,0
47.6434,33.70996,12/10/2023,n,4.48,0
47.59377,29.73674,12/10/2023,n,5.72,0
47.64436,33.70815,12/10/2023,n,5.17,0
47.53059,30.37818,12/10/2023,n,4.52,0
47.15074,30.16358,12/10/2023,n,4.57,0
47.07339,31.66099,12/10/2023,n,3.02,0
47.02151,34.0607,12/10/2023,n,7.58,0
47.02392,34.05872,12/10/2023,n,7.14,0
46.98442,32.19917,12/10/2023,n,6.23,0
46.93629,32.91965,12/10/2023,n,5.45,0
46.90488,32.18743,12/10/2023,n,5.62,0
46.90496,32.19415,12/10/2023,n,5.62,0
46.93347,32.91752,12/10/2023,n,4.81,0
46.78683,30.77568,12/10/2023,n,1.85,0
46.79109,30.77647,12/10/2023,n,3.04,0
46.76427,34.01668,12/10/2023,n,14.93,0
46.76426,34.02486,12/10/2023,n,22.37,0
46.75768,34.00843,12/10/2023,h,14.93,0
46.75767,34.0166,12/10/2023,h,14.93,0
46.75107,34.01651,12/10/2023,n,7.61,0
46.74448,34.00827,12/10/2023,n,7.61,0
46.48729,32.06587,12/10/2023,n,2.7,0
46.18621,34.44129,12/10/2023,n,4.11,0
46.19017,34.4392,12/10/2023,n,4.47,0
45.99587,33.99209,12/10/2023,n,4.6,0
45.45958,29.30531,12/10/2023,n,3.59,0
48.67009,29.42577,12/10/2023,n,7.03,0
48.30225,29.64041,12/10/2023,n,3.97,0
48.36624,33.86836,12/10/2023,n,5.65,0
48.43117,31.55205,12/10/2023,n,4.23,0
48.36724,28.86171,12/10/2023,n,5.92,0
48.42181,35.63387,12/10/2023,n,10.49,0
48.43267,29.24014,12/10/2023,n,3.91,0
48.43249,29.23498,12/10/2023,n,3.91,0
48.43805,29.23972,12/10/2023,n,4.27,0
48.44237,28.51309,12/10/2023,n,2.67,0
48.56478,31.20734,12/10/2023,n,2.97,0
48.5888,29.31932,12/10/2023,n,2.52,0
48.30197,29.64086,12/10/2023,n,4.54,0
48.66992,29.4204,12/10/2023,n,7.03,0
48.87086,31.86527,12/10/2023,n,3.67,0
48.97386,32.46719,12/10/2023,n,9.37,0
48.97162,32.46564,12/10/2023,n,9.11,0
49.00683,35.28494,12/10/2023,n,7.65,0
48.99767,25.6622,12/10/2023,n,9,0
49.40271,35.08889,12/10/2023,n,11.23,0
49.40162,35.08463,12/10/2023,n,8.96,0
49.44429,30.34517,12/10/2023,n,5.1,0
49.25697,25.68106,12/10/2023,n,2.85,0
